,0
0,0.0
1,0.0
2,0.0
3,0.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,2.0
22,3.0
23,3.0
24,3.0
25,3.0
26,3.0
27,3.0
28,3.0
29,3.0
30,3.0
31,3.0
32,3.0
33,3.0
34,3.0
35,4.0
36,4.0
37,4.0
38,4.0
39,5.0
40,5.0
41,6.0
42,6.0
43,6.0
44,6.0
45,6.0
46,6.0
47,6.0
48,6.0
49,6.0
50,6.0
51,6.0
52,6.0
53,6.0
54,6.0
55,6.0
56,6.0
57,6.0
58,6.0
59,6.0
60,6.0
61,6.0
62,6.0
63,6.0
64,6.0
65,6.0
66,6.0
67,6.0
68,6.0
69,6.0
70,6.0
71,6.0
72,6.0
73,6.0
74,6.0
75,6.0
76,6.0
77,6.0
78,6.0
79,6.0
80,6.0
81,6.0
82,6.0
83,6.0
84,6.0
85,6.0
86,6.0
87,6.0
